id;servicioId;tipo;origen;destino
3625;4651;Tren;Johnsonhaven;Lake Amyberg
2737;2283;Tren;Guerrerofort;Whitemouth
1935;2981;Taxi;Harpershire;East Jordan
7371;619;Taxi;Williamsburgh;North Brittanychester
7922;2776;Bus;Jamesborough;Lake Dwayne
4571;968;Tren;Allenside;Huntview
7623;3180;Barco;South Crystalland;Port Michael
7904;3316;Barco;Guerrerofort;South Norman
2376;1022;Taxi;Guerrerofort;North Brittanychester
5705;4314;Bus;Lake Alvin;East Jordan
1084;3295;Taxi;East John;Johnsonhaven
4116;3127;Taxi;East Jordan;Judithburgh
5133;4995;Taxi;Judithburgh;Johnsonhaven
8761;4906;Barco;West Barbara;New Stevenville
5866;4231;Taxi;Judithburgh;Morrisberg
536;4698;Bus;North Brittanychester;East Christopherstad
7568;1972;Taxi;East Stephenfurt;Whitemouth
4103;1185;Tren;Williamsburgh;East Hannahside
6784;2807;Tren;Williamsburgh;East Joelborough
9986;4045;Tren;Lake Alvin;Whitemouth
2825;2507;Taxi;New Angela;East John
6406;338;Taxi;East Christopherstad;Myerston
9780;4950;Bus;Lake Alvin;Williamsburgh
9272;2062;Tren;Lake Dwayne;Morrisberg
4198;4362;Taxi;South Kenneth;Porterstad
1895;2634;Tren;East Jordan;Lake Amyberg
201;1696;Bus;East Joelborough;Myerston
3524;2090;Tren;Lake Dianashire;East Jessicafurt
4706;3676;Barco;Harpershire;Guerrerofort
7625;3277;Tren;Johnsonhaven;Lake Alvin
8473;220;Taxi;North Jesse;South Norman
2056;2941;Taxi;Guerrerofort;East Christopherstad
9994;3196;Barco;Scottfurt;East John
6966;4614;Bus;Fosterhaven;East Christopherstad
6926;2069;Taxi;Lake Maria;Jamesborough
4789;2163;Tren;North Paulmouth;East Jordan
46;3490;Barco;New Angela;Lake Dianashire
9549;3699;Taxi;Rhodesmouth;New Stevenville
4440;2391;Taxi;Arroyoside;Lake Alvin
8576;3246;Tren;Jamesborough;Sanchezview
1006;2268;Taxi;Morrisberg;Sanchezview
9217;3709;Bus;Allenside;Johnsonhaven
3313;806;Taxi;Arroyoside;Myerston
7758;2794;Taxi;South Nicholastown;Bellland
3990;2792;Barco;East Stephenfurt;West Matthew
870;2592;Bus;Scottfurt;Lake Maria
4415;2832;Barco;Judithburgh;Harpershire
1539;986;Tren;Judithburgh;Judithburgh
4932;4410;Bus;East Christopherstad;Huntview
3530;1875;Barco;East Stephenfurt;Port Michael
145;3902;Taxi;Martinezbury;Porterstad
6023;4371;Bus;Whitemouth;Mccoybury
1271;4300;Taxi;Martinezbury;Lake Dwayne
6439;1624;Bus;Mccoybury;Fosterhaven
2143;3000;Barco;South Kenneth;Morrisberg
7302;554;Barco;West Barbara;West Matthew
7126;3099;Taxi;Judithburgh;Mccoybury
3409;940;Taxi;North Paulmouth;Lake Amyberg
546;537;Barco;South Nicholastown;North Jesse
7769;82;Barco;Johnsonhaven;Sanchezview
80;2069;Tren;Myerston;Jamesborough
1498;1537;Tren;Myerston;West Matthew
8387;4128;Barco;Morrisberg;South Nicholastown
4988;4474;Taxi;Porterstad;North Zacharyland
818;3594;Tren;Judithburgh;Porterstad
1926;2080;Bus;Fosterhaven;East Christopherstad
5417;510;Barco;Huntview;Lake Williamfort
9156;3630;Tren;East Jessicafurt;Bellland
5203;2397;Tren;Fosterhaven;East Stephenfurt
4406;3723;Barco;East John;Scottfurt
4290;3894;Taxi;Fosterhaven;East Joelborough
3476;1699;Barco;New Jennifer;Huntview
5472;2753;Bus;North Jesse;South Nicholastown
7022;3295;Taxi;Morrisberg;East Joelborough
8972;4796;Tren;New Danielberg;Jamesborough
9469;4970;Bus;Bellland;West Barbara
1158;87;Taxi;Fosterhaven;New Jennifer
8675;1997;Barco;South Norman;Bellland
8655;2896;Barco;Lake Amyberg;Allenside
4214;1207;Barco;North Paulmouth;Arroyoside
5992;1130;Bus;Judithburgh;North Zacharyland
820;281;Taxi;Lake Alvin;Lake Alvin
5908;945;Barco;North Paulmouth;Judithburgh
7847;1526;Tren;Judithburgh;East Hannahside
2945;4151;Tren;West Matthew;Morrisberg
9025;1028;Taxi;North Zacharyland;Scottfurt
7208;1583;Bus;West Matthew;New Stevenville
5303;4636;Bus;Sanchezview;Lake Williamfort
1371;3345;Barco;New Stevenville;Martinezbury
9756;4044;Tren;Lake Dwayne;West Matthew
7647;2792;Bus;Sanchezview;Huntview
9620;3455;Tren;Mccoybury;Harpershire
652;1034;Bus;Guerrerofort;South Crystalland
5194;3595;Bus;New Angela;Scottfurt
5387;406;Barco;Kathleenbury;Lake Alvin
7852;4608;Bus;South Norman;New Stevenville
8332;2689;Bus;Whitemouth;East Joelborough
1103;2466;Tren;Lake Amyberg;Mccoybury
2210;3605;Taxi;Rhodesmouth;Mccoybury
6978;3268;Taxi;South Norman;Fosterhaven
2958;2286;Bus;New Stevenville;Lake Alvin
1435;3083;Taxi;Whitemouth;Judithburgh
8447;3079;Tren;Lake Amyberg;Morrisberg
2601;3038;Taxi;Lake Williamfort;Scottfurt
